iter	Passed	Remaining
0	59	59477
1	59	29930
2	60	20060
3	60	15113
4	61	12158
5	61	10185
6	61	8770
7	62	7709
8	62	6883
9	62	6229
10	63	5685
11	63	5238
12	63	4856
13	64	4528
14	64	4246
15	65	3998
16	65	3777
17	65	3582
18	66	3409
19	66	3257
20	67	3124
21	67	2999
22	67	2882
23	68	2775
24	68	2675
25	69	2593
26	69	2512
27	70	2431
28	70	2356
29	70	2287
30	71	2220
31	71	2159
32	71	2100
33	72	2046
34	72	1995
35	72	1947
36	73	1901
37	73	1857
38	73	1816
39	74	1777
40	74	1740
41	74	1703
42	75	1670
43	75	1637
44	75	1605
45	76	1576
46	76	1547
47	76	1521
48	77	1495
49	77	1469
50	77	1444
51	77	1421
52	78	1399
53	78	1377
54	78	1356
55	79	1337
56	80	1325
57	80	1307
58	80	1290
59	81	1273
60	81	1258
61	82	1242
62	82	1227
63	83	1213
64	83	1200
65	83	1185
66	84	1171
67	84	1158
68	84	1146
69	85	1131
70	85	1119
71	85	1106
72	86	1093
73	86	1081
74	86	1069
75	87	1058
76	87	1047
77	87	1037
78	88	1026
79	88	1016
80	88	1004
81	88	994
82	89	985
83	89	976
84	89	968
85	90	961
86	90	953
87	91	946
88	91	937
89	91	930
90	92	922
91	92	915
92	93	908
93	93	904
94	93	895
95	94	888
96	94	881
97	95	875
98	95	868
99	95	861
100	96	855
101	96	847
102	96	841
103	97	835
104	97	829
105	97	823
106	97	817
107	98	811
108	98	805
109	98	799
110	99	793
111	99	787
112	99	781
113	99	775
114	100	770
115	100	764
116	100	759
117	100	753
118	101	748
119	101	743
120	101	738
121	101	733
122	102	728
123	102	723
124	102	718
125	102	714
126	103	709
127	103	704
128	103	700
129	103	695
130	104	691
131	104	686
132	104	682
133	104	677
134	105	673
135	105	669
136	105	665
137	105	661
138	106	657
139	106	653
140	106	649
141	106	645
142	107	642
143	107	638
144	107	635
145	108	633
146	108	630
147	108	626
148	109	623
149	109	620
150	109	615
151	109	612
152	110	609
153	110	606
154	110	603
155	111	600
156	111	597
157	111	595
158	111	592
159	112	589
160	112	586
161	112	583
162	113	580
163	113	578
164	113	575
165	114	572
166	114	570
167	114	567
168	114	565
169	115	562
170	115	560
171	115	557
172	116	555
173	116	552
174	116	550
175	117	547
176	117	545
177	117	543
178	117	540
179	118	538
180	118	536
181	118	533
182	118	530
183	119	528
184	119	526
185	119	524
186	120	522
187	120	520
188	120	518
189	122	520
190	122	518
191	122	516
192	122	514
193	123	512
194	123	510
195	123	508
196	124	506
197	124	504
198	124	502
199	125	500
200	125	498
201	125	496
202	125	494
203	126	492
204	126	490
205	126	488
206	127	486
207	127	484
208	127	483
209	127	481
210	128	479
211	128	477
212	128	475
213	129	473
214	129	472
215	129	470
216	129	468
217	130	466
218	130	464
219	130	463
220	130	461
221	131	459
222	131	458
223	131	456
224	131	454
225	132	452
226	132	451
227	132	449
228	133	448
229	133	446
230	133	445
231	134	443
232	134	442
233	134	441
234	135	440
235	135	439
236	136	438
237	136	437
238	137	436
239	137	434
240	137	433
241	138	432
242	138	430
243	138	429
244	138	428
245	139	426
246	139	425
247	139	424
248	140	422
249	140	421
250	140	420
251	141	418
252	141	417
253	141	416
254	142	415
255	142	413
256	142	412
257	143	411
258	143	410
259	143	408
260	144	407
261	144	406
262	144	405
263	144	404
264	145	402
265	145	401
266	145	400
267	146	399
268	146	398
269	146	396
270	147	395
271	147	394
272	147	393
273	148	392
274	148	392
275	149	391
276	149	390
277	149	389
278	150	388
279	150	387
280	151	386
281	151	385
282	151	384
283	151	383
284	152	381
285	152	380
286	152	379
287	153	378
288	153	377
289	153	376
290	153	374
291	154	373
292	154	372
293	154	371
294	154	370
295	155	368
296	155	367
297	155	366
298	155	365
299	156	364
300	156	362
301	156	361
302	156	360
303	157	359
304	157	358
305	157	357
306	158	356
307	158	355
308	158	354
309	158	353
310	159	352
311	159	351
312	159	350
313	159	349
314	160	348
315	160	347
316	160	346
317	160	345
318	161	344
319	161	343
320	162	342
321	162	341
322	162	340
323	162	340
324	163	339
325	163	338
326	163	337
327	164	336
328	164	335
329	164	334
330	165	333
331	165	333
332	165	332
333	166	331
334	166	330
335	166	329
336	167	328
337	167	327
338	167	327
339	168	326
340	168	325
341	168	324
342	169	323
343	169	323
344	169	322
345	170	321
346	170	320
347	170	320
348	171	319
349	171	318
350	171	317
351	172	317
352	172	316
353	172	315
354	173	314
355	173	313
356	173	312
357	174	312
358	174	311
359	174	310
360	174	309
361	175	308
362	175	308
363	176	307
364	176	306
365	176	306
366	177	306
367	177	305
368	178	304
369	178	303
370	178	303
371	179	302
372	179	301
373	179	300
374	179	299
375	180	299
376	180	298
377	180	297
378	181	296
379	181	296
380	181	295
381	182	294
382	182	293
383	182	293
384	182	292
385	183	291
386	183	290
387	183	290
388	184	289
389	184	288
390	185	288
391	185	287
392	185	287
393	186	286
394	186	286
395	187	285
396	187	285
397	187	284
398	188	283
399	188	282
400	188	282
401	189	281
402	189	280
403	189	280
404	190	279
405	190	278
406	190	278
407	191	277
408	191	276
409	191	276
410	192	275
411	192	274
412	192	274
413	193	273
414	193	272
415	194	272
416	194	271
417	194	271
418	195	270
419	195	269
420	195	269
421	195	268
422	196	267
423	196	266
424	196	266
425	197	266
426	198	265
427	198	265
428	198	264
429	199	264
430	199	263
431	199	262
432	200	262
433	200	261
434	200	260
435	201	260
436	201	259
437	201	258
438	202	258
439	202	257
440	202	256
441	202	256
442	203	255
443	203	254
444	204	254
445	204	254
446	205	253
447	205	253
448	205	252
449	205	251
450	206	251
451	206	250
452	206	249
453	207	249
454	207	248
455	207	248
456	208	247
457	208	246
458	208	246
459	209	245
460	209	244
461	209	244
462	210	243
463	210	242
464	210	242
465	211	241
466	211	241
467	211	240
468	211	239
469	212	239
470	212	238
471	212	238
472	213	237
473	213	237
474	213	236
475	214	235
476	214	235
477	214	234
478	215	234
479	215	233
480	215	232
481	216	232
482	216	231
483	216	230
484	216	230
485	217	229
486	217	229
487	217	228
488	218	228
489	218	227
490	219	227
491	219	226
492	219	226
493	220	225
494	220	224
495	220	224
496	221	223
497	221	223
498	221	222
499	222	222
500	222	221
501	222	220
502	223	220
503	223	219
504	223	219
505	223	218
506	224	218
507	224	217
508	224	216
509	225	216
510	225	215
511	225	215
512	226	214
513	226	214
514	226	213
515	227	213
516	227	212
517	227	211
518	228	211
519	228	210
520	228	210
521	229	209
522	229	209
523	229	208
524	230	208
525	230	207
526	230	207
527	230	206
528	231	205
529	231	205
530	231	204
531	232	204
532	232	204
533	233	203
534	233	203
535	233	202
536	234	201
537	234	201
538	234	200
539	235	200
540	235	199
541	235	199
542	235	198
543	236	198
544	236	197
545	236	196
546	237	196
547	237	195
548	237	195
549	237	194
550	238	194
551	238	193
552	238	192
553	239	192
554	239	191
555	239	191
556	239	190
557	240	190
558	240	189
559	240	189
560	241	188
561	241	188
562	241	187
563	241	187
564	242	186
565	242	185
566	242	185
567	243	184
568	243	184
569	243	183
570	243	183
571	244	182
572	244	182
573	244	181
574	245	181
575	245	180
576	245	180
577	246	179
578	246	179
579	246	178
580	247	178
581	247	177
582	247	177
583	247	176
584	248	176
585	248	175
586	248	175
587	249	174
588	249	174
589	249	173
590	249	172
591	250	172
592	250	171
593	250	171
594	251	170
595	251	170
596	251	169
597	251	169
598	252	168
599	252	168
600	252	167
601	253	167
602	253	166
603	253	166
604	253	165
605	254	165
606	254	164
607	254	164
608	255	163
609	255	163
610	255	162
611	256	162
612	256	161
613	256	161
614	256	160
615	257	160
616	257	159
617	258	159
618	258	159
619	258	158
620	259	158
621	259	157
622	259	157
623	260	156
624	260	156
625	261	155
626	261	155
627	261	155
628	262	154
629	262	154
630	262	153
631	263	153
632	263	152
633	264	152
634	264	151
635	264	151
636	264	150
637	265	150
638	265	150
639	265	149
640	266	149
641	266	148
642	266	148
643	267	147
644	267	147
645	267	146
646	267	146
647	268	145
648	268	145
649	269	144
650	269	144
651	269	143
652	270	143
653	270	143
654	270	142
655	271	142
656	271	141
657	271	141
658	271	140
659	272	140
660	272	139
661	272	139
662	273	139
663	273	138
664	274	138
665	274	137
666	275	137
667	275	137
668	276	136
669	276	136
670	276	135
671	277	135
672	277	134
673	277	134
674	278	133
675	278	133
676	278	133
677	279	132
678	279	132
679	279	131
680	280	131
681	280	130
682	280	130
683	280	129
684	281	129
685	281	128
686	281	128
687	282	127
688	282	127
689	282	126
690	282	126
691	283	125
692	283	125
693	283	125
694	283	124
695	284	124
696	284	123
697	284	123
698	284	122
699	285	122
700	285	121
701	285	121
702	285	120
703	286	120
704	286	119
705	286	119
706	287	119
707	287	118
708	287	118
709	288	117
710	288	117
711	288	116
712	288	116
713	289	115
714	289	115
715	289	114
716	289	114
717	290	113
718	290	113
719	290	113
720	290	112
721	291	112
722	291	111
723	291	111
724	291	110
725	292	110
726	292	109
727	292	109
728	292	108
729	293	108
730	293	107
731	293	107
732	294	107
733	294	106
734	294	106
735	294	105
736	295	105
737	295	104
738	295	104
739	295	103
740	296	103
741	296	103
742	296	102
743	296	102
744	297	101
745	297	101
746	297	100
747	297	100
748	298	99
749	298	99
750	298	99
751	298	98
752	299	98
753	299	97
754	299	97
755	299	96
756	300	96
757	300	95
758	300	95
759	301	95
760	301	94
761	301	94
762	301	93
763	302	93
764	302	92
765	302	92
766	302	92
767	303	91
768	303	91
769	303	90
770	303	90
771	304	89
772	304	89
773	304	88
774	304	88
775	305	88
776	305	87
777	305	87
778	305	86
779	306	86
780	306	85
781	306	85
782	307	85
783	307	84
784	307	84
785	307	83
786	308	83
787	308	82
788	308	82
789	308	82
790	309	81
791	309	81
792	309	80
793	309	80
794	310	79
795	310	79
796	310	79
797	310	78
798	311	78
799	311	77
800	311	77
801	311	76
802	312	76
803	312	76
804	312	75
805	312	75
806	313	74
807	313	74
808	313	74
809	313	73
810	314	73
811	314	72
812	314	72
813	315	71
814	315	71
815	315	71
816	315	70
817	316	70
818	316	69
819	316	69
820	316	69
821	317	68
822	317	68
823	317	67
824	317	67
825	318	67
826	318	66
827	318	66
828	318	65
829	319	65
830	319	64
831	319	64
832	319	64
833	320	63
834	320	63
835	320	62
836	320	62
837	321	62
838	321	61
839	321	61
840	321	60
841	322	60
842	322	60
843	322	59
844	322	59
845	323	58
846	323	58
847	323	58
848	324	57
849	324	57
850	324	56
851	324	56
852	325	56
853	325	55
854	325	55
855	326	54
856	326	54
857	326	54
858	326	53
859	327	53
860	327	52
861	327	52
862	327	52
863	328	51
864	328	51
865	328	50
866	329	50
867	329	50
868	329	49
869	330	49
870	330	48
871	330	48
872	331	48
873	331	47
874	331	47
875	331	46
876	332	46
877	332	46
878	332	45
879	333	45
880	333	45
881	333	44
882	333	44
883	334	43
884	334	43
885	334	43
886	334	42
887	335	42
888	335	41
889	335	41
890	335	41
891	336	40
892	336	40
893	336	39
894	337	39
895	337	39
896	337	38
897	337	38
898	338	37
899	338	37
900	338	37
901	338	36
902	339	36
903	339	36
904	339	35
905	339	35
906	340	34
907	340	34
908	340	34
909	340	33
910	341	33
911	341	32
912	341	32
913	341	32
914	342	31
915	342	31
916	343	31
917	343	30
918	343	30
919	343	29
920	344	29
921	344	29
922	344	28
923	346	28
924	346	28
925	347	27
926	347	27
927	347	26
928	348	26
929	348	26
930	348	25
931	349	25
932	349	25
933	349	24
934	349	24
935	350	23
936	350	23
937	350	23
938	351	22
939	351	22
940	351	22
941	351	21
942	352	21
943	352	20
944	352	20
945	353	20
946	353	19
947	353	19
948	353	19
949	354	18
950	354	18
951	354	17
952	354	17
953	355	17
954	355	16
955	355	16
956	355	15
957	356	15
958	356	15
959	356	14
960	357	14
961	357	14
962	357	13
963	358	13
964	358	13
965	358	12
966	359	12
967	359	11
968	359	11
969	359	11
970	360	10
971	360	10
972	360	10
973	361	9
974	361	9
975	361	8
976	361	8
977	362	8
978	362	7
979	362	7
980	363	7
981	363	6
982	363	6
983	363	5
984	364	5
985	364	5
986	364	4
987	364	4
988	365	4
989	365	3
990	365	3
991	366	2
992	366	2
993	366	2
994	366	1
995	367	1
996	367	1
997	367	0
998	367	0
999	368	0
